Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;16;100,0;1;1;0;0;100,00;14;2;0;2;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;22;100,0;1;1;0;0;100,00;18;4;1;2;1;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Byåsen;16;100,0;1;1;0;0;100,00;14;2;0;2;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Sentrum;22;100,0;1;1;0;0;100,00;18;4;1;2;1;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;38;100,0;1;1;0;0;100,00;32;6;1;4;1;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;12;100,0;1;1;0;0;100,00;12;0;0;0;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;9;100,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Byåsen;12;100,0;1;1;0;0;100,00;12;0;0;0;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Sentrum;9;100,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
27372V72852;Søndre Ilevollen;FV6650 S1D1 m1149;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;21;100,0;1;1;0;0;100,00;21;0;0;0;0;0;0;0
