Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;8;100,0;1;1;0;0;100,00;7;1;1;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;11;100,0;1;1;0;0;100,00;9;2;0;2;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;41;100,0;1;1;0;0;100,00;26;15;0;5;3;7;3;4
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;41;100,0;1;1;0;0;100,00;28;13;3;3;3;4;3;1
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Stjørdal;49;100,0;1;1;0;0;100,00;33;16;1;5;3;7;3;4
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Trondheim;52;100,0;1;1;0;0;100,00;37;15;3;5;3;4;3;1
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;101;100,0;1;1;0;0;100,00;70;31;4;10;6;11;6;5
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;2;100,0;1;1;0;0;100,00;1;1;0;1;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;10;100,0;1;1;0;0;100,00;8;2;1;0;0;1;1;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;12;100,0;1;1;0;0;100,00;8;4;1;2;1;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Stjørdal;12;100,0;1;1;0;0;100,00;9;3;1;1;0;1;1;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Trondheim;13;100,0;1;1;0;0;100,00;9;4;1;2;1;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;25;100,0;1;1;0;0;100,00;18;7;2;3;1;1;1;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;3;100,0;1;1;0;0;100,00;3;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;5;100,0;1;1;0;0;100,00;5;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;9;100,0;1;1;0;0;100,00;6;3;0;3;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;4;12;100,0;1;1;0;0;100,00;12;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Stjørdal;12;100,0;1;1;0;0;100,00;9;3;0;3;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Trondheim;17;100,0;1;1;0;0;100,00;17;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;29;100,0;1;1;0;0;100,00;26;3;0;3;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
78492V2394249;Rotvollekra;RV706 S2D1 m6338;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;4;100,0;1;1;0;0;100,00;4;0;0;0;0;0;0;0
