Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;25;100,0;1;1;0;13;48,00;4;8;1;2;2;3;3;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;24;100,0;1;1;0;2;91,67;22;0;0;0;0;0;0;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Rosenborg;25;100,0;1;1;0;13;48,00;4;8;1;2;2;3;3;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Samfundet;24;100,0;1;1;0;2;91,67;22;0;0;0;0;0;0;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;49;100,0;1;1;0;15;69,39;26;8;1;2;2;3;3;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;11;100,0;1;1;0;6;45,45;1;4;0;3;0;1;1;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;17;100,0;1;1;0;0;100,00;16;1;0;0;1;0;0;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Rosenborg;11;100,0;1;1;0;6;45,45;1;4;0;3;0;1;1;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Samfundet;17;100,0;1;1;0;0;100,00;16;1;0;0;1;0;0;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;28;100,0;1;1;0;6;78,57;17;5;0;3;1;1;1;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;3;100,0;1;1;0;1;66,67;0;2;0;1;0;1;1;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;10;100,0;1;1;0;0;100,00;10;0;0;0;0;0;0;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Rosenborg;3;100,0;1;1;0;1;66,67;0;2;0;1;0;1;1;0
81008V41567;Festningsgata;FV6666 S1D1 m1857;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Samfundet;10;100,0;1;1;0;0;100,00;10;0;0;0;0;0;0;0
