Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;16;100,0;1;1;0;0;100,00;15;1;0;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;27;100,0;1;1;0;0;100,00;21;6;1;2;1;2;2;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;27;100,0;1;1;0;0;100,00;22;5;0;0;0;5;4;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;27;100,0;1;1;0;0;100,00;20;7;0;1;1;5;4;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Lade;54;100,0;1;1;0;0;100,00;41;13;1;3;2;7;6;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Sentrum;43;100,0;1;1;0;0;100,00;37;6;0;1;0;5;4;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;97;100,0;1;1;0;0;100,00;78;19;1;4;2;12;10;2
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;20;100,0;1;1;0;0;100,00;14;6;0;2;4;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;10;100,0;1;1;0;0;100,00;6;4;0;2;2;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;15;100,0;1;1;0;0;100,00;15;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;18;100,0;1;1;0;0;100,00;16;2;1;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Lade;28;100,0;1;1;0;0;100,00;22;6;1;3;2;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Sentrum;35;100,0;1;1;0;0;100,00;29;6;0;2;4;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;63;100,0;1;1;0;0;100,00;51;12;1;5;6;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;19;100,0;1;1;0;0;100,00;19;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;14;100,0;1;1;0;0;100,00;14;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;24;100,0;1;1;0;0;100,00;24;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;4;19;100,0;1;1;0;0;100,00;19;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Lade;33;100,0;1;1;0;0;100,00;33;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Sentrum;43;100,0;1;1;0;0;100,00;43;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;76;100,0;1;1;0;0;100,00;76;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;6;100,0;1;1;0;0;100,00;5;1;0;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;13;100,0;1;1;0;0;100,00;10;3;3;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;3;8;100,0;1;1;0;0;100,00;7;1;1;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;4;15;100,0;1;1;0;0;100,00;15;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Lade;28;100,0;1;1;0;0;100,00;25;3;3;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Sentrum;14;100,0;1;1;0;0;100,00;12;2;1;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt;42;100,0;1;1;0;0;100,00;37;5;4;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;1;4;100,0;1;1;0;0;100,00;4;0;0;0;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;2;7;100,0;1;1;0;0;100,00;6;1;0;0;1;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;3;6;100,0;1;1;0;0;100,00;2;4;1;0;3;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;4;6;100,0;1;1;0;0;100,00;5;1;0;1;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Lade;13;100,0;1;1;0;0;100,00;11;2;0;1;1;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Sentrum;10;100,0;1;1;0;0;100,00;6;4;1;0;3;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt;23;100,0;1;1;0;0;100,00;17;6;1;1;4;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;1;9;100,0;1;1;0;0;100,00;6;3;1;2;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;2;14;100,0;1;1;0;0;100,00;10;4;1;2;0;1;1;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;3;15;100,0;1;1;0;0;100,00;8;7;0;0;5;2;1;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;4;12;100,0;1;1;0;0;100,00;9;3;0;0;1;2;1;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Lade;26;100,0;1;1;0;0;100,00;19;7;1;2;1;3;2;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Sentrum;24;100,0;1;1;0;0;100,00;14;10;1;2;5;2;1;1
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt;50;100,0;1;1;0;0;100,00;33;17;2;4;6;5;3;2
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1;33;100,0;1;1;0;0;100,00;27;6;1;4;0;1;1;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;2;37;100,0;1;1;0;0;100,00;33;4;2;2;0;0;0;0
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;3;25;100,0;1;1;0;0;100,00;9;16;0;0;7;9;5;4
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;4;29;100,0;1;1;0;0;100,00;19;10;0;0;3;7;3;4
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Lade;66;100,0;1;1;0;0;100,00;52;14;2;2;3;7;3;4
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Sentrum;58;100,0;1;1;0;0;100,00;36;22;1;4;7;10;6;4
10236V72161;Innherredsveien ved Bakke kirke;FV6690 S1D1 m447;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt;124;100,0;1;1;0;0;100,00;88;36;3;6;10;17;9;8
