Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;2;100,0;1;1;0;0;100,00;1;1;0;0;1;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;5;100,0;1;1;0;0;100,00;5;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;52;100,0;1;1;0;0;100,00;28;24;2;5;9;8;6;2
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;79;100,0;1;1;0;0;100,00;58;21;3;10;1;7;7;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;5;54;100,0;1;1;0;0;100,00;33;21;3;10;0;8;8;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;6;50;100,0;1;1;0;1;98,00;35;14;0;2;0;12;5;7
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Heimdal;134;100,0;1;1;0;1;99,25;98;35;3;12;1;19;12;7
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Trondheim;108;100,0;1;1;0;0;100,00;62;46;5;15;10;16;14;2
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;242;100,0;1;1;0;1;99,59;160;81;8;27;11;35;26;9
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;2;100,0;1;1;0;0;100,00;1;1;0;0;1;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;22;100,0;1;1;0;0;100,00;16;6;1;0;5;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;34;100,0;1;1;0;0;100,00;19;15;3;10;1;1;1;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;5;39;100,0;1;1;0;0;100,00;21;18;1;8;0;9;8;1
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;6;14;100,0;1;1;0;0;100,00;12;2;0;0;2;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Heimdal;49;100,0;1;1;0;0;100,00;32;17;3;10;3;1;1;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Trondheim;63;100,0;1;1;0;0;100,00;38;25;2;8;6;9;8;1
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;112;100,0;1;1;0;0;100,00;70;42;5;18;9;10;9;1
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;8;100,0;1;1;0;0;100,00;5;3;1;1;1;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;4;31;100,0;1;1;0;0;100,00;17;14;0;5;8;1;1;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;5;29;100,0;1;1;0;0;100,00;14;15;0;8;2;5;5;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;6;11;100,0;1;1;0;0;100,00;8;3;1;2;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Heimdal;42;100,0;1;1;0;0;100,00;25;17;1;7;8;1;1;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Trondheim;38;100,0;1;1;0;0;100,00;20;18;1;9;3;5;5;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;80;100,0;1;1;0;0;100,00;45;35;2;16;11;6;6;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;4;100,0;1;1;0;0;100,00;4;0;0;0;0;0;0;0
06970V72811;Kroppanbrua;EV6 S75D1 m2632;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;3;15;100,0;1;1;0;0;100,00;14;1;0;1;0;0;0;0
