Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;17;100,0;1;1;0;0;100,00;12;5;0;0;0;5;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Moholt;17;100,0;1;1;0;0;100,00;12;5;0;0;0;5;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;17;50,0;1;1;0;0;100,00;12;5;0;0;0;5;5;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;9;100,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Moholt;9;100,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;9;50,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;4;100,0;1;1;0;0;100,00;3;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Moholt;4;100,0;1;1;0;0;100,00;3;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;4;50,0;1;1;0;0;100,00;3;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;7;100,0;1;1;0;0;100,00;6;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Moholt;7;100,0;1;1;0;0;100,00;6;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt;7;50,0;1;1;0;0;100,00;6;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;2;9;100,0;1;1;0;0;100,00;8;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Moholt;9;100,0;1;1;0;0;100,00;8;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt;9;50,0;1;1;0;0;100,00;8;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;2;19;100,0;1;1;0;0;100,00;18;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Moholt;19;100,0;1;1;0;0;100,00;18;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt;19;50,0;1;1;0;0;100,00;18;1;0;1;0;0;0;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;2;114;100,0;1;1;0;0;100,00;110;4;1;0;0;3;3;0
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Bromstad;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
65625V41945;Kong Øysteins veg ved Eberg;FV6664 S1D1 m2150;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Moholt;114;100,0;1;1;0;0;100,00;110;4;1;0;0;3;3;0
