Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;8;100,0;1;1;0;0;100,00;8;0;0;0;0;0;0;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;25;100,0;1;1;0;0;100,00;16;9;1;1;1;6;4;2
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;73;100,0;1;1;0;0;100,00;54;19;6;7;1;5;5;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Heimdal;85;50,0;1;1;0;55;35,29;17;13;3;3;1;6;4;2
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Ranheim;88;100,0;1;1;0;6;93,18;63;19;6;7;1;5;5;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;173;75,0;1;1;0;61;64,74;80;32;9;10;2;11;9;2
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;4;100,0;1;1;0;0;100,00;2;2;0;1;1;0;0;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;5;100,0;1;1;0;0;100,00;3;2;0;1;0;1;1;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;47;100,0;1;1;0;0;100,00;37;10;0;3;0;7;6;1
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;-;0,0;1;1;0;-;-;-;-;-;-;-;-;-;-
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Heimdal;24;50,0;1;1;0;18;25,00;4;2;0;1;0;1;1;0
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Ranheim;54;100,0;1;1;0;3;94,44;39;12;0;4;1;7;6;1
35002V72811;Moholtlia;EV6 S76D1 m2823;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;78;75,0;1;1;0;21;73,08;43;14;0;5;1;8;7;1
