Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;42;100,0;1;1;0;0;100,00;29;13;1;2;3;7;4;3
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;35;100,0;1;1;0;0;100,00;25;10;2;0;0;8;5;3
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Lade;35;100,0;1;1;0;0;100,00;25;10;2;0;0;8;5;3
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Sentrum;43;100,0;1;1;0;0;100,00;30;13;1;2;3;7;4;3
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;78;100,0;1;1;0;0;100,00;55;23;3;2;3;15;9;6
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;14;100,0;1;1;0;0;100,00;13;1;0;0;1;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;18;100,0;1;1;0;0;100,00;15;3;1;1;1;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Lade;18;100,0;1;1;0;0;100,00;15;3;1;1;1;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Sentrum;14;100,0;1;1;0;0;100,00;13;1;0;0;1;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;32;100,0;1;1;0;0;100,00;28;4;1;1;2;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;18;100,0;1;1;0;0;100,00;18;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;32;100,0;1;1;0;0;100,00;30;2;1;1;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;4;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Lade;32;100,0;1;1;0;0;100,00;30;2;1;1;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Sentrum;19;100,0;1;1;0;0;100,00;19;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;51;100,0;1;1;0;0;100,00;49;2;1;1;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;18;100,0;1;1;0;0;100,00;16;2;2;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
04300V72813;Innherredsveien ved Fjæregata;FV6692 S2D1 m161;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;3;12;100,0;1;1;0;0;100,00;10;2;2;0;0;0;0;0
