Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;42;100,0;1;1;0;0;100,00;27;15;2;2;5;6;4;2
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;25;100,0;1;1;0;0;100,00;19;6;1;1;4;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;29;100,0;1;1;0;0;100,00;6;23;0;4;9;10;6;4
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;30;100,0;1;1;0;0;100,00;13;17;0;1;4;12;7;5
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Fjordgata;55;100,0;1;1;0;0;100,00;32;23;1;2;8;12;7;5
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Samfundet;71;100,0;1;1;0;0;100,00;33;38;2;6;14;16;10;6
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;126;100,0;1;1;0;0;100,00;65;61;3;8;22;28;17;11
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;28;100,0;1;1;0;0;100,00;19;9;3;0;4;2;2;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;28;100,0;1;1;0;0;100,00;19;9;3;1;5;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;7;100,0;1;1;0;0;100,00;7;0;0;0;0;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;13;100,0;1;1;0;0;100,00;13;0;0;0;0;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Fjordgata;41;100,0;1;1;0;0;100,00;32;9;3;1;5;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Samfundet;35;100,0;1;1;0;0;100,00;26;9;3;0;4;2;2;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;76;100,0;1;1;0;0;100,00;58;18;6;1;9;2;2;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;19;100,0;1;1;0;0;100,00;14;5;1;1;3;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;13;100,0;1;1;0;0;100,00;10;3;1;1;1;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;3;5;100,0;1;1;0;0;100,00;5;0;0;0;0;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;4;10;100,0;1;1;0;0;100,00;9;1;1;0;0;0;0;0
16219V72812;Prinsens gt nord for Elgeseter bru;FV6690 S3D1 m640;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Fjordgata;23;100,0;1;1;0;0;100,00;19;4;2;1;1;0;0;0
