Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;52;100,0;1;1;0;0;100,00;33;19;2;3;12;2;2;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;29;100,0;1;1;0;1;96,55;19;9;1;1;6;1;1;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;3;21;100,0;1;1;0;0;100,00;3;18;1;4;2;11;7;4
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;4;15;100,0;1;1;0;1;93,33;5;9;0;1;2;6;5;1
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Heimdal;73;100,0;1;1;0;0;100,00;36;37;3;7;14;13;9;4
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Sentrum;44;100,0;1;1;0;2;95,45;24;18;1;2;8;7;6;1
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;117;100,0;1;1;0;2;98,29;60;55;4;9;22;20;15;5
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;26;100,0;1;1;0;0;100,00;18;8;2;0;6;0;0;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;27;100,0;1;1;0;0;100,00;18;9;3;0;6;0;0;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;3;5;100,0;1;1;0;0;100,00;4;1;1;0;0;0;0;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;4;5;100,0;1;1;0;0;100,00;4;1;1;0;0;0;0;0
44656V72812;Elgeseter gate ved Abels gate;FV6690 S3D1 m1588;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Heimdal;31;100,0;1;1;0;0;100,00;22;9;3;0;6;0;0;0
