Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Volum;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;1;26;100,0;1;1;0;0;100,00;23;3;0;2;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;2;25;100,0;1;1;0;0;100,00;22;3;0;3;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Ila;26;100,0;1;1;0;0;100,00;23;3;0;2;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt i retning Selsbakk;25;100,0;1;1;0;0;100,00;22;3;0;3;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T00:00+01:00;2020-02-25T01:00+01:00;2020-02-25;00:00;01:00;Totalt;51;100,0;1;1;0;0;100,00;45;6;0;5;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;1;10;100,0;1;1;0;0;100,00;10;0;0;0;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;2;17;100,0;1;1;0;0;100,00;13;4;2;1;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Ila;9;100,0;1;1;0;0;100,00;9;0;0;0;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt i retning Selsbakk;18;100,0;1;1;0;0;100,00;14;4;2;1;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T01:00+01:00;2020-02-25T02:00+01:00;2020-02-25;01:00;02:00;Totalt;27;100,0;1;1;0;0;100,00;23;4;2;1;0;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;1;30;100,0;1;1;0;0;100,00;17;13;2;5;4;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;2;15;100,0;1;1;0;0;100,00;9;6;2;4;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Ila;30;100,0;1;1;0;0;100,00;17;13;2;5;4;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt i retning Selsbakk;15;100,0;1;1;0;0;100,00;9;6;2;4;0;0;0;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T02:00+01:00;2020-02-25T03:00+01:00;2020-02-25;02:00;03:00;Totalt;45;100,0;1;1;0;0;100,00;26;19;4;9;4;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;1;21;100,0;1;1;0;0;100,00;9;12;2;5;2;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;2;14;100,0;1;1;0;0;100,00;6;8;2;0;4;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Ila;21;100,0;1;1;0;0;100,00;9;12;2;5;2;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt i retning Selsbakk;14;100,0;1;1;0;0;100,00;6;8;2;0;4;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T03:00+01:00;2020-02-25T04:00+01:00;2020-02-25;03:00;04:00;Totalt;35;100,0;1;1;0;0;100,00;15;20;4;5;6;5;5;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;1;19;100,0;1;1;0;0;100,00;11;8;2;3;1;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;2;29;100,0;1;1;0;1;96,55;23;5;2;1;1;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Ila;19;100,0;1;1;0;0;100,00;11;8;2;3;1;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt i retning Selsbakk;29;100,0;1;1;0;1;96,55;23;5;2;1;1;1;1;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T04:00+01:00;2020-02-25T05:00+01:00;2020-02-25;04:00;05:00;Totalt;48;100,0;1;1;0;1;97,92;34;13;4;4;2;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;1;52;100,0;1;1;0;0;100,00;38;14;1;7;2;4;4;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;2;86;100,0;1;1;0;0;100,00;76;10;4;3;0;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Ila;52;100,0;1;1;0;0;100,00;38;14;1;7;2;4;4;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt i retning Selsbakk;86;100,0;1;1;0;0;100,00;76;10;4;3;0;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T05:00+01:00;2020-02-25T06:00+01:00;2020-02-25;05:00;06:00;Totalt;138;100,0;1;1;0;0;100,00;114;24;5;10;2;7;7;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;1;338;100,0;1;1;0;0;100,00;318;20;2;13;2;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;2;444;100,0;1;1;0;0;100,00;416;28;12;11;3;2;2;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Ila;338;100,0;1;1;0;0;100,00;318;20;2;13;2;3;3;0
77022V72359;Oslovegen;RV706 S1D1 m2434;2020-02-25T06:00+01:00;2020-02-25T07:00+01:00;2020-02-25;06:00;07:00;Totalt i retning Selsbakk;444;100,0;1;1;0;0;100,00;416;28;12;11;3;2;2;0
